path,entry_type,symlink_target,direct_files,recursive_files,category,role,scope,role_source,explanation
build/ramulator2/_deps/dramutils-src/include/DRAMUtils/memspec/standards,directory,,14,14,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/include/DRAMUtils/util,directory,,5,5,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/tests,directory,,1,3,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/tests/tests_memspec,directory,,1,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/tests/tests_memspec/base,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild,directory,,5,31,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/CMakeFiles,directory,,5,8,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/CMakeFiles/3.31.8,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/CMakeFiles/dramutils-populate.dir,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/CMakeFiles/pkgRedirects,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/dramutils-populate-prefix,directory,,0,18,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/dramutils-populate-prefix/src,directory,,1,16,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/dramutils-populate-prefix/src/dramutils-populate-stamp,directory,,15,15,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-subbuild/dramutils-populate-prefix/tmp,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build,directory,,6,10,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build/CMakeFiles,directory,,0,4,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build/CMakeFiles/Export,directory,,0,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build/CMakeFiles/Export/b834597d9b1628ff12ae4314c3a2e4b8,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build/CMakeFiles/fmt.dir,directory,,0,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-build/CMakeFiles/fmt.dir/src,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild,directory,,5,29,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/CMakeFiles,directory,,5,8,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/CMakeFiles/3.31.8,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/CMakeFiles/fmt-populate.dir,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/CMakeFiles/pkgRedirects,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/fmt-populate-prefix,directory,,0,16,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/fmt-populate-prefix/src,directory,,0,12,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/fmt-populate-prefix/src/fmt-populate-stamp,directory,,12,12,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/fmt-subbuild/fmt-populate-prefix/tmp,directory,,4,4,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-build,directory,,4,4,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-build/CMakeFiles,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src,directory,,3,53,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/cmake,directory,,3,3,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include,directory,,0,45,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann,directory,,5,45,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail,directory,,11,38,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/conversions,directory,,3,3,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/input,directory,,6,6,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/iterators,directory,,6,6,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/meta,directory,,7,9,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/meta/call_std,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/detail/output,directory,,3,3,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/thirdparty,directory,,0,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/include/nlohmann/thirdparty/hedley,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/single_include,directory,,0,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-src/single_include/nlohmann,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild,directory,,5,31,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/CMakeFiles,directory,,5,8,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/CMakeFiles/3.31.8,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/CMakeFiles/nlohmann_json-populate.dir,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/CMakeFiles/pkgRedirects,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/nlohmann_json-populate-prefix,directory,,0,18,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/nlohmann_json-populate-prefix/src,directory,,1,16,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/nlohmann_json-populate-prefix/src/nlohmann_json-populate-stamp,directory,,15,15,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/nlohmann_json-subbuild/nlohmann_json-populate-prefix/tmp,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build,directory,,7,37,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build/CMakeFiles,directory,,0,30,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build/CMakeFiles/yaml-cpp.dir,directory,,0,30,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build/CMakeFiles/yaml-cpp.dir/src,directory,,30,30,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build/Testing,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-build/Testing/Temporary,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild,directory,,5,29,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/CMakeFiles,directory,,5,8,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/CMakeFiles/3.31.8,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/CMakeFiles/pkgRedirects,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/CMakeFiles/yaml-cpp-populate.dir,directory,,2,2,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/yaml-cpp-populate-prefix,directory,,0,16,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/yaml-cpp-populate-prefix/src,directory,,0,12,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/yaml-cpp-populate-prefix/src/yaml-cpp-populate-stamp,directory,,12,12,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/yaml-cpp-subbuild/yaml-cpp-populate-prefix/tmp,directory,,4,4,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/lib,directory,,2,2,build-output,在线native库输出,libstoragestacked_ramulator2.so,build/ramulator2/lib,manual
build/ramulator2/native-contract,directory,,1,59,build-output,原生ABI契约测试产生的配置与日志,测试输出,build/ramulator2/native-contract,manual
build/ramulator2/native-contract/fast,directory,,13,13,build-output,原生ABI契约测试产生的配置与日志,测试输出,build/ramulator2/native-contract,inherited-from-ancestor
build/ramulator2/native-contract/high_address,directory,,19,19,build-output,原生ABI契约测试产生的配置与日志,测试输出,build/ramulator2/native-contract,inherited-from-ancestor
build/ramulator2/native-contract/power_off,directory,,13,13,build-output,原生ABI契约测试产生的配置与日志,测试输出,build/ramulator2/native-contract,inherited-from-ancestor
build/ramulator2/native-contract/slow,directory,,13,13,build-output,原生ABI契约测试产生的配置与日志,测试输出,build/ramulator2/native-contract,inherited-from-ancestor
build/ramulator2/src,directory,,0,71,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,manual
build/ramulator2/src/ramulator,directory,,1,71,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,inherited-from-ancestor
build/ramulator2/src/ramulator/CMakeFiles,directory,,0,0,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,inherited-from-ancestor
build/ramulator2/src/ramulator/base,directory,,1,6,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,inherited-from-ancestor
build/ramulator2/src/ramulator/base/CMakeFiles,directory,,0,5,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,inherited-from-ancestor
build/ramulator2/src/ramulator/base/CMakeFiles/ramulator-base.dir,directory,,5,5,build-output,原生源码对应的构建产物,非维护真源,build/ramulator2/src,inherited-from-ancestor
