path,module,kind,lines,bytes,role_hint,upstream,downstream,reviewed_role,reviewed_interface,status,index_blob
coralnpu/.mdlrc,coralnpu,config,3,49,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,0b63db391a4532ec80893b45680dbfa5e437eed1
coralnpu/.rules.verible_lint,coralnpu,config,14,505,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,236782d55903670afec661ecbd2fd37d73a33cc1
coralnpu/.scalafmt,coralnpu,config,12,340,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b8c9b6b3dde157b981a33819cf992ec9f5c21b2e
coralnpu/.shellcheckrc,coralnpu,config,5,81,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,acc0be9bd73e9ed55430dda3568e1c1f64a2db5b
coralnpu/.style.yapf,coralnpu,config,18,501,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,40250b035abb59406cfb876006a7610270bb6c2a
coralnpu/BUILD.bazel,coralnpu,build,1,43,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,039703f36e647b68da899f52e2c098eb5d08ae2e
coralnpu/CONTRIBUTING.md,coralnpu,documentation,45,1633,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e5cc1f331a651e550d27985310ece2b96a17fc57
coralnpu/LICENSE,coralnpu,documentation,202,11357,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,7a4a3ea2424c09fbe48d455aed1eaa94d9124835
coralnpu/MODULE.bazel,coralnpu,build,83,2941,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,fd787b72525633de2325870a231d4996cc35f52a
coralnpu/PREUPLOAD.cfg,coralnpu,config,9,247,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,2ca7dbeedbaf2bacd9ec3432e265c8ed1b8910db
coralnpu/README.md,coralnpu,documentation,62,2401,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,8bb61abb28ce21bf841c8d86f7f6e031df8dda82
coralnpu/WORKSPACE,coralnpu,build,338,10019,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,81b57c947e638b334e91adb37510c1bf9d775012
coralnpu/coralnpu_test_utils/BUILD,coralnpu,build,198,4372,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,0c3c71ebe94b4c0d84a2a83d57ba4949a2d9fd7e
coralnpu/coralnpu_test_utils/TileLinkULInterface.py,coralnpu,source,344,12408,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,c9f8cd2667b6b56194a4162f818a805177f22a6e
coralnpu/coralnpu_test_utils/TlulVerificationEnv.py,coralnpu,source,342,12882,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,d6ee7f45b7ae41cfef215fafa2d63ad83904e8a9
coralnpu/coralnpu_test_utils/axi_slave.py,coralnpu,source,197,7702,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,125ebf647500836da83eb6426e82e967e00f327f
coralnpu/coralnpu_test_utils/backdoor.py,coralnpu,source,57,2119,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,26366ecb06ddbfb9fc1e6cffb8460d5cbc8e8c73
coralnpu/coralnpu_test_utils/core_mini_axi_interface.py,coralnpu,source,1064,39882,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,a49db06eaedae7bf71a31ca3de3e93fba4fcc96f
coralnpu/coralnpu_test_utils/core_mini_axi_pyocd_gdbserver.py,coralnpu,source,738,25068,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,c520f31625c64d2b926e08dd3f9f813d1d5f3948
coralnpu/coralnpu_test_utils/ftdi_spi_master.py,coralnpu,source,340,11779,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,7469bde22f08fb84855f9bdec9a45472c3b9b2cd
coralnpu/coralnpu_test_utils/run_binary.py,coralnpu,source,233,7624,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,44bdcf57ac50c794758024a69ffb99b622959df4
coralnpu/coralnpu_test_utils/run_matmul_test.py,coralnpu,source,345,12225,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,129a260512d895b4059efbbf62b7c0176a6afbff
coralnpu/coralnpu_test_utils/run_sram_test.py,coralnpu,source,423,14657,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e618064490c45bcb161f6cecb4e39e307ce922b5
coralnpu/coralnpu_test_utils/rvv_cpp_util_header_generator.py,coralnpu,source,1068,45528,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,661265eb4adcb07b9a04e08de2f8ae9922ffa1e6
coralnpu/coralnpu_test_utils/rvv_type_util.py,coralnpu,source,66,1373,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,2fee8cda2b4dea0eea43bdda2138abc8f5ab4c0e
coralnpu/coralnpu_test_utils/secded_golden.py,coralnpu,source,136,4346,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,c4d28779c59ac82e83a2139da0ae4f7b155d89a9
coralnpu/coralnpu_test_utils/sim_test_fixture.py,coralnpu,source,99,3501,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,8b2bfadbb015012ca3f3882d8452bf230b6acbf0
coralnpu/coralnpu_test_utils/spi_constants.py,coralnpu,source,55,1404,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,58c97a66fd7274dc2c733f1f4bfdf4bdc043dfea
coralnpu/coralnpu_test_utils/spi_master.py,coralnpu,source,187,7192,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,62e3baf2f6720650a4fe0dfbe6620ad85d997b51
coralnpu/doc/images/Coral_Logo_200px-2x.png,coralnpu,binary/data,0,5148,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,a74764c9ed6a4079437e43da0f4dc6e048599239
coralnpu/doc/images/arch.png,coralnpu,binary/data,0,47425,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,0483cf51b67f36ec1b3db1036f74c8656fb5af5d
coralnpu/doc/images/arch_data_flow.png,coralnpu,binary/data,0,284750,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,41f82f116984d0bbf26b8d59530711bc7b214a39
coralnpu/doc/images/coralnpu_aconv.png,coralnpu,binary/data,0,20624,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b77ba6ec05697d3423dda59fc89f2d3a249547f9
coralnpu/doc/images/coralnpu_axi.svg,coralnpu,text/data,1,80788,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,3b8efd759595e78dd7a6075ab3ca55ec901caca7
coralnpu/doc/images/coralnpu_block.png,coralnpu,binary/data,0,63488,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,d604e4761a5111dea6185c662433a4df98b41a9d
coralnpu/doc/images/lsu.svg,coralnpu,text/data,1,13610,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,127c3ab71b0a07d191818942af6ca96ba3fe82cb
coralnpu/doc/images/mac.png,coralnpu,binary/data,0,4414,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,775b37e9aac6a6fecf637ff7671314815e1d6a80
coralnpu/doc/images/microarch.png,coralnpu,binary/data,0,45551,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,05366ec2b785b53fe2efb1aca6cd2369ca0563b7
coralnpu/doc/images/mlu_interfaces.png,coralnpu,binary/data,0,43752,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,9f7df82ac2ea2da8e6e4022a0e2debd6aec8f73e
coralnpu/doc/images/mlu_waveform.png,coralnpu,binary/data,0,26428,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,130a133a8fbe446f9e5cfdc7f0ff773b4667f4ae
coralnpu/doc/images/simd.png,coralnpu,binary/data,0,43227,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b3db5ddceab2fc38140f6142b1dcd92b546fb4ac
coralnpu/doc/integration_guide.md,coralnpu,documentation,255,11046,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e594fc4d7cff503a89a4dd1d48780b3c9c0a407b
coralnpu/doc/microarch/debug.md,coralnpu,documentation,204,14354,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,ad44bc27d106370e526d1a9813a3cb7a6d4d9a5e
coralnpu/doc/microarch/debug_arch.dot,coralnpu,text/data,23,619,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e5f63188085c88ea7df4c273378f095e75f9a09b
coralnpu/doc/microarch/debug_arch.png,coralnpu,binary/data,0,22491,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,5c982c5dbacb6a85419157e77d5dcaf87209e044
coralnpu/doc/microarch/dispatch.md,coralnpu,documentation,41,1656,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,0ce8122fd5bad4364075a27cb09bfaeb102eb88d
coralnpu/doc/microarch/lsu.md,coralnpu,documentation,143,9835,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,29bf29c4674bee5743a9f471bed39ba14216b923
coralnpu/doc/microarch/microarch.md,coralnpu,documentation,30,1416,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,c3b10935ad0f74de8ad36333a7e473a10436329d
coralnpu/doc/microarch/mlu.md,coralnpu,documentation,62,3006,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,ad71049a09b5a2bd2679429808c36d82a656828c
coralnpu/doc/overview.md,coralnpu,documentation,90,4373,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,8a917521d58181131549b3c2960078cd05a0a93d
coralnpu/doc/peripherals/dma.md,coralnpu,documentation,260,11019,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,10fb387cf2eef99520d4a3e9ccc9ed14d91af77e
coralnpu/doc/simulation.md,coralnpu,documentation,47,1219,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,477a45e165a7a0628a62036745de2d640d7c3710
coralnpu/doc/sw/dma.md,coralnpu,documentation,192,5943,CoralNPU目标软件、运行库与编译支持,,,False,False,main-indexed,598b702672fb8fdfebc5dd6b57868c558c141263
coralnpu/doc/tutorials/npusim_mobilenet_tutorial.md,coralnpu,documentation,118,5115,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,4198f63f15c65aa2afabf443dded699db2b4825c
coralnpu/doc/tutorials/writing_coralnpu_programs.md,coralnpu,documentation,236,7911,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,017a5f5f1df54b25d3a5ed1d4f5b03bba8e46e05
coralnpu/examples/BUILD.bazel,coralnpu,build,29,952,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,f84d5132cd0949bd7f608147cd7b1578310c9601
coralnpu/examples/hello_world_add_floats.cc,coralnpu,source,26,866,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,f4078cf02f7ff0123b77332c3ba619057623e0df
coralnpu/examples/rvv_add_intrinsic.cc,coralnpu,source,40,1289,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,4ef537f043945cd4f2b4a0e7d2184d85e3ec340b
coralnpu/fpga/0001-Export-hw-ip_templates.patch,coralnpu,text/data,44,1360,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,4620e1b2b217da36f29daf6e63af59ae61f1c7b1
coralnpu/fpga/0002-Use-hermetic-verilator-in-fusesoc-build.patch,coralnpu,text/data,224,9990,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e4489478cdb0a09012ec4a29022065b0beaf276d
coralnpu/fpga/BUILD,coralnpu,build,791,20709,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,9ed3cf7f1bde1764fa4ed59ce48d65a87c830aa2
coralnpu/fpga/README.md,coralnpu,documentation,104,3738,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,1d9fcb61382f25e1e0ec9febc000d74a4786ba61
coralnpu/fpga/check_pin_assignments.tcl,coralnpu,source,72,2747,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,04e7a533258454f2c2882faa5417c5b02893d158
coralnpu/fpga/check_pins.py,coralnpu,source,175,5859,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,8a839148bb07e244838d5c7e2047c51d902fda4d
coralnpu/fpga/chip_nexus.core,coralnpu,text/data,139,3762,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,c7843dccbd16dd94e282f8e892e7d7eef62052a2
coralnpu/fpga/chip_verilator.core,coralnpu,text/data,115,3203,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,7ce8ed9964aa4a1de31d0640ce817a13b5c1f83c
coralnpu/fpga/convert_stitched_to_bin_smap.tcl,coralnpu,source,27,998,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,ae1e42d2e54776afcf56b44c73f5f4c14fde6049
coralnpu/fpga/coralnpu_soc.core,coralnpu,text/data,135,3224,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,ce229320161da8b8ab6fd7873d2757a611d7cf88
coralnpu/fpga/coralnpu_soc_pkg.core,coralnpu,text/data,30,890,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,dd7774f0a4a6440516d2e4f387b6dd1a12a09c6d
coralnpu/fpga/create_final_mmi.tcl,coralnpu,source,161,6089,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,f09d991232e480f9f13677f2f711bf50900ac5f8
coralnpu/fpga/extract_bram_details.tcl,coralnpu,source,56,2281,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,3f574a104a72025b6ae5b5a5c98f2632d2a558e8
coralnpu/fpga/get_bitstream.sh,coralnpu,source,110,3572,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,6903f0ea7f287faba68be25d640e998ffa421faa
coralnpu/fpga/ip/coralnpu_chisel_subsystem_default/BUILD,coralnpu,build,42,1327,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,d9c860a90611583ece5df7d64a82de3cb7ce7b56
coralnpu/fpga/ip/coralnpu_chisel_subsystem_default/coralnpu_chisel_subsystem_default.core.tpl,coralnpu,text/data,34,1023,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,30c0bb527222393e9a2d90cf6a68845968383e16
coralnpu/fpga/ip/coralnpu_chisel_subsystem_highmem/BUILD,coralnpu,build,42,1430,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,a9bd6349034cb472094a814b782e5d513d4dbffb
coralnpu/fpga/ip/coralnpu_chisel_subsystem_highmem/coralnpu_chisel_subsystem_highmem.core.tpl,coralnpu,text/data,34,1023,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,82b7ecdef7546fa80ca9b18cddf47802edb688f9
coralnpu/fpga/ip/coralnpu_tlul/BUILD,coralnpu,build,30,864,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b6285d15ce9fea54c2d06f4cd324ae8b612bb82e
coralnpu/fpga/ip/coralnpu_tlul/coralnpu_tlul.core,coralnpu,text/data,17,308,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,33c6e0f316dfd3fd59c5226c0e3ce2dc25ac5416
coralnpu/fpga/ip/coralnpu_tlul/coralnpu_tlul_pkg_128.sv,coralnpu,source,75,2365,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,969289f93d6bedaf297f77096e5bdcf1735cbd6b
coralnpu/fpga/ip/coralnpu_tlul/coralnpu_tlul_pkg_32.sv,coralnpu,source,45,1319,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,7b06481c7f6d073ccd1fd2a0c12b6d2bee79ff9c
coralnpu/fpga/ip/ddr4_stub/BUILD,coralnpu,build,24,747,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,02df8b76b60aabf537b428414c30d61078cc0b49
coralnpu/fpga/ip/ddr4_stub/ddr4_stub.core,coralnpu,text/data,35,917,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,1b60df9b7eb0eccceb8bf6b7c710ac75d4927d21
coralnpu/fpga/ip/ddr4_stub/pins_ddr_stub.xdc,coralnpu,text/data,59,3649,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e68947950821f13e219ac0cb26d7a9e8eb9cd472
coralnpu/fpga/ip/ddr4_stub/rtl/ddr4_stub.sv,coralnpu,source,109,4688,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,f201ccc186de851c04cbe30539f46ef25373ff09
coralnpu/fpga/ip/display_dpi/BUILD,coralnpu,build,25,787,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,eace54036ed5730a69ee6897e1bb6e5ba90e5035
coralnpu/fpga/ip/display_dpi/display_dpi.cc,coralnpu,source,289,7739,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b1ba364bdaf85326fe197fb1cad9eb4201f71e74
